logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol
-16.0466206666667	11.0090626086957	-6.31582217384487	2.50878483281313e-06	0.0419694614681309	-1.02772921698291	ZNF165
216.153666666667	425.748782608696	5.63563495491587	1.20951210043289e-05	0.0617435500285004	-1.40194214251235	CASP7
122.8336	322.278869565217	5.57397629647733	1.39831585007147e-05	0.0617435500285004	-1.43841390341209	KIF13B
-2715.02958333333	3856.2647826087	-5.51320172001093	1.61381689790521e-05	0.0617435500285004	-1.47478501986379	CD52
-35.9788283333333	42.0743217391304	-5.42562648957624	1.98526886998316e-05	0.0617435500285004	-1.52793433262053	TNK1
-1684.63766666667	3606.97826086957	-5.36301901094798	2.30313950180328e-05	0.0617435500285004	-1.56646646631874	RPS20
-24.8006691666667	42.8363130434783	-5.31468291703864	2.58356656225419e-05	0.0617435500285004	-1.59652092353725	NDRG2
62.3069358333333	116.511595652174	5.23280356311412	3.14008106574833e-05	0.0656630201861298	-1.648039606029	COA7
-15.1120731666667	11.5860026086957	-5.08583523727773	4.46253463008326e-05	0.0829486020296254	-1.74242518389213	EDN3
209.376166666667	375.131173913043	4.9261426577794	6.5491099096213e-05	0.0857721409193115	-1.84774963734123	PI4K2B
-42.78049	68.4532304347826	-4.92303749559106	6.5982486605704e-05	0.0857721409193115	-1.84982597319329	STARD10
-368.4817	922.520347826087	-4.9083229115623	6.83621779599148e-05	0.0857721409193115	-1.85967982220689	COMMD6
-93.4368116666667	135.091573913043	-4.89227593881067	7.10563011171414e-05	0.0857721409193115	-1.87045340380359	LTBP3
194.13235	727.654304347826	4.82623040937861	8.3321653475815e-05	0.0857721409193115	-1.9150955266291	NSUN2
-13.5431736666667	14.5736604347826	-4.81623199004023	8.53563473612052e-05	0.0857721409193115	-1.92189574065044	FAM131B
-161.331625	390.319347826087	-4.80611143843782	8.74669527200326e-05	0.0857721409193115	-1.92879021950785	GRK6
-46.1828541666666	74.4891347826087	-4.79895318328357	8.89914921257031e-05	0.0857721409193115	-1.93367347068883	CAMK2N1
-12.0363882	11.2553716086957	-4.77889882423865	9.34068354229238e-05	0.0857721409193115	-1.94738416379614	IFNE
715.838333333333	1610.41808695652	4.76150092114447	9.74159051627066e-05	0.0857721409193115	-1.95931433946289	KPNB1
-2588.51083333333	5176.48826086957	-4.64056203252334	0.000130514184773488	0.105555147840643	-2.0431518969175	RPL35A
-1154.90338333333	1696.22839130435	-4.61755919902066	0.000137989631380172	0.105555147840643	-2.05927559380782	ZFP36L1
48.4731025	79.1748304347826	4.59626871536581	0.000145291920421459	0.105555147840643	-2.0742490315812	KLHDC10
-224.325816666667	437.360304347826	-4.58730440312136	0.000148481628707333	0.105555147840643	-2.08056788724796	FAM210B
-1231.63366666667	2079.95565217391	-4.57918054489073	0.000151433053271291	0.105555147840643	-2.08630162370099	METTL9
