logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	score
2.9710333051475	10.9574414900497	12.1846909804394	5.8021622819665e-15	5.69567209958649e-11	23.8903393710201	C1QC	42.2968486374669
2.54662111904762	12.0397734146341	10.4360573619191	6.40428631508912e-13	6.60353077822523e-10	19.3435780587501	C1QB	31.0522991302753
-2.09740616190476	9.66680919512195	-11.492214478982	3.56595790121733e-14	1.40640184313996e-10	22.1404688718207	NOG	28.2055484777887
3.21985428571429	14.5964736585366	7.01774177284758	1.8856808411976e-08	1.43435395133719e-06	9.2947469659971	IFI27	24.8718668580912
2.24718347619048	9.87129841463415	9.30261018433081	1.66850087398066e-11	7.20171540025141e-09	16.1703251993111	FAM20A	24.2194099392239
2.11724737380952	8.42213792682927	9.49302804273247	9.53853973941016e-12	4.78473777198521e-09	16.7155954252426	FBXO39	23.3331630192228
-2.05794620714286	7.12595534146342	-9.44194088940402	1.1077460137486e-11	5.27173487568565e-09	16.5697776056708	ENTPD2	22.545952746001
2.53616955	7.67663312195122	7.74693468968123	1.888967637508e-09	2.48000001378193e-07	11.5473967296202	KCTD14	22.1249737397735
2.1087836047619	11.5876769756098	8.97363843620942	4.4308250304999e-11	1.39960742799814e-08	15.2171141157204	ANKRD22	21.8333235262174
2.0353449047619	11.8968907317073	8.41533035353841	2.39465589557683e-10	5.10859924389723e-08	13.5682942405418	C1QA	19.581558504819
-1.45285347619048	11.2783775365854	-11.3950241415729	4.62361130518614e-14	1.40640184313996e-10	21.8895790521418	FCGBP	19.3738282487272
2.08798371428572	15.6690870731707	7.98168509428548	9.09714032768132e-10	1.43243226271624e-07	12.2625487548533	SERPING1	18.8776593407204
-1.66343617783991	8.81032760118922	-9.69291600369075	5.32968196201805e-12	3.80457296980981e-09	17.2827715083435	CACNA2D3	18.7524129108972
-1.85544681666667	9.06161234146341	-8.56438496114458	1.52080433318569e-10	3.57379028514263e-08	14.0121826757915	CCN3	18.2166407651844
1.74020938095238	14.1136897560976	8.98029428528742	4.3435600979886e-11	1.39960742799814e-08	15.2365377696966	RNASE2	18.0323178850895
1.59991730952381	12.6291963414634	9.46919803532235	1.02273803185929e-11	4.99526786087065e-09	16.6476208617905	AIM2	17.5834681624884
1.71771370238095	10.5505318292683	8.60776733709899	1.33319659938676e-10	3.38960669652306e-08	14.1408814185801	C2	16.9626045498872
1.78887054761905	12.6228492682927	8.2498334400799	3.97583406265729e-10	7.60736909308447e-08	13.072425574081	TCN2	16.8164059340363
2.08372250714286	9.59852085365854	7.23962115506359	9.32115697276411e-09	8.25636033422866e-07	9.98458149228447	RNASE1	16.7333964766802
1.6558195	13.0075531707317	8.5327853059709	1.67410120643205e-10	3.83596523350357e-08	13.9182971694212	TIMM10	16.1876528818787
